512 512
8
0 0 0 0
5 34 0 45,34375
5 34 0 46,0625
5 34 0 46,578125
5 34 0 47,328125
5 34 0 48,734375
5 34 0 50,21875
5 34 0 52,4375
5 34 0 56,25
5 34 0 55,46875
5 34 0 44,640625
5 34 0 10,6875
3 18 0 -2,50390625
3 18 1 -1,16015625
3 18 1 -2,92578125
3 18 1 -1,23828125
0 1 0 -1,38671875
0 5 1 -0,15234375
0 5 0 0,75390625
0 4 1 -0,4453125
0 1 0 -0,77734375
0 1 1 0,25390625
0 4 1 0,3828125
5 51 1 -0,46875
5 31 1 0,25
5 34 0 0,3125
5 34 0 1,078125
5 57 1 0,3828125
5 29 0 -0,3203125
5 51 0 0,015625
4 23 1 -0,0859375
4 24 0 0,22265625
0 3 0 0,2890625
0 3 1 -0,4765625
0 5 1 0,70703125
1 6 1 -1,30078125
3 18 1 -3,33203125
2 18 0 2,6171875
0 25 1 3,1015625
2 17 0 2,2890625
2 24 0 0,55078125
2 18 1 2,5390625
1 24 1 2,1484375
1 13 1 0,66015625
0 40 0 1,05859375
0 41 1 -1,20703125
1 42 1 -0,5234375
1 43 1 -0,61328125
1 43 0 -0,67578125
1 51 0 -0,2421875
0 1 0 -2,98046875
3 25 1 -0,4765625
2 47 1 -0,03515625
1 46 1 -0,91796875
0 62 1 0,54296875
0 45 1 -1,69140625
0 45 0 -0,01953125
0 45 0 -0,31640625
0 45 0 -0,84765625
1 15 1 -0,1640625
2 18 1 0,5546875
2 44 1 -1,12109375
1 42 1 0,5546875
0 43 1 2,53125
53 4 1 40,52734375
55 54 0 41,7421875
15 22 0 45,90625
5 33 0 49,62890625
5 34 0 48,84375
5 34 0 49,390625
5 34 0 53,8125
5 34 0 54,546875
5 34 0 48,484375
5 34 0 24,375
6 29 1 -3,28515625
3 17 1 -2,59375
3 23 1 -3,10546875
3 17 0 -0,09375
3 17 1 -3
3 23 0 -0,60546875
0 5 1 0,01953125
1 5 0 0,1484375
1 5 0 -0,6171875
0 1 1 0,05078125
0 1 0 -2,93359375
0 1 0 -0,16796875
0 2 1 -0,57421875
1 5 0 0,4609375
5 51 0 0,15625
5 23 0 -0,234375
5 29 0 0,2734375
4 20 1 -0,33984375
0 7 0 0,5078125
1 5 1 -0,1640625
0 6 0 -0,4765625
5 49 1 -0,6015625
0 3 0 0,0546875
0 1 0 -3,08984375
0 1 0 -1,69921875
1 7 0 -2,859375
2 23 0 2,91796875
0 25 1 4,4765625
0 29 1 0,140625
0 25 1 0,2265625
2 61 1 0,9921875
2 17 0 1,6640625
0 25 1 2,1640625
1 19 1 -0,37109375
0 13 1 2,65234375
0 36 1 0,3046875
1 42 1 1,3671875
1 44 0 0,0390625
0 43 0 -2,21875
0 38 1 1,03125
2 62 1 -0,27734375
0 5 0 0,12890625
4 32 1 1,58203125
4 52 1 5,04296875
4 56 1 -0,1796875
4 61 1 0,2109375
3 35 1 2,359375
3 38 1 -2,53125
3 50 1 3,89453125
2 21 1 0,20703125
3 17 1 -0,09375
2 24 1 -0,08984375
2 33 1 -0,109375
2 36 1 1,2578125
53 4 0 37,52734375
41 29 1 43,625
55 54 0 41,4765625
42 52 0 45,3046875
15 22 0 48,453125
5 18 1 53,93359375
5 33 0 50,62890625
5 34 0 35,234375
6 35 1 -0,33984375
25 62 0 -0,6640625
3 16 1 -3,5234375
2 6 1 -5,4140625
2 6 1 -4,6015625
3 17 0 -2,4375
3 17 0 -4,359375
3 23 0 -1,33984375
0 4 1 1,2265625
4 16 0 0,0703125
5 47 1 -0,45703125
0 5 1 -0,23046875
0 2 1 0,33203125
5 40 1 0,83984375
5 35 1 3,24609375
5 35 1 5,15234375
5 35 1 2,29296875
5 53 0 -0,55859375
0 4 0 1,1484375
0 1 0 0,12890625
0 1 0 -1,27734375
0 1 0 -2,13671875
0 1 1 0,53515625
0 4 1 -0,4765625
1 7 1 1,21875
2 62 1 0,78515625
2 62 1 0,64453125
7 35 1 -0,6796875
0 25 1 2,4609375
1 31 1 -0,37890625
1 34 1 -0,2890625
1 34 1 -2,4921875
0 33 1 -0,58984375
1 23 1 -1,23828125
1 21 1 -0,17578125
1 21 1 -0,16015625
1 21 1 -0,34765625
2 9 1 -0,46875
3 40 1 0,1953125
3 48 1 -1,35546875
2 46 1 -0,55859375
2 44 1 -0,63671875
0 22 1 1,1328125
2 62 1 3,34765625
6 34 1 1,3671875
5 34 0 2,328125
5 34 0 4,140625
5 34 0 6,09375
5 34 0 5,609375
5 34 0 4,296875
5 34 0 13,765625
5 34 0 19,390625
5 34 0 16,296875
5 35 1 10,15234375
5 35 1 23,33984375
5 34 0 36,5625
53 4 0 37,07421875
50 15 0 47,8828125
56 52 1 40,2421875
55 54 0 44,3359375
55 54 0 48,1796875
42 52 0 48,2265625
15 22 0 40,40625
5 18 1 30,51171875
5 18 1 23,51171875
5 33 1 22,42578125
5 35 1 21,98046875
5 35 1 21,05859375
5 35 1 19,69921875
5 35 1 18,08984375
5 35 1 15,62109375
5 35 1 15,94921875
5 35 1 19,62109375
5 34 0 26,625
5 35 1 23,46484375
5 35 1 20,23046875
5 35 1 24,30859375
5 34 0 29
5 34 0 35,03125
5 34 0 33,890625
5 34 0 31,71875
5 35 1 26,21484375
5 35 1 18,10546875
5 35 1 13,66796875
5 35 1 13,51171875
5 35 1 11,33984375
5 35 1 10,29296875
5 35 1 9,52734375
5 35 1 4,43359375
4 34 1 2,87890625
4 35 1 1,671875
3 24 1 2,91015625
4 62 1 1,78515625
3 28 1 2,58984375
3 33 1 3,08203125
3 35 1 2,734375
4 62 1 3,14453125
5 35 1 3,66796875
5 35 1 1,91796875
4 34 1 3,51953125
5 35 1 2,51171875
5 41 1 2,1640625
5 35 1 8,01171875
5 35 1 10,69921875
4 34 1 3,64453125
3 44 1 -1,16796875
2 13 1 -5,15625
3 57 1 -4,6953125
2 33 1 -1,21875
2 36 1 -0,3828125
2 36 1 0,9140625
2 35 0 2,015625
8 41 1 -0,140625
0 26 1 0,4609375
7 33 1 -1,9375
7 35 1 6,1015625
1 7 1 0,375
6 29 1 -2,58203125
5 34 0 10,03125
5 34 0 30,8125
53 4 0 40,73046875
53 4 0 43,93359375
41 29 0 47,484375
55 54 0 45,9609375
55 54 0 45,9453125
55 54 0 46,0234375
42 52 0 47,5234375
42 52 0 48,8828125
15 22 0 50,734375
5 18 1 55,33984375
5 18 1 55,76171875
5 18 1 52,29296875
5 33 0 51,87890625
5 34 0 50,140625
5 34 0 49,84375
5 34 0 49,859375
5 34 0 49,953125
5 34 0 50,765625
5 34 0 51,65625
5 34 0 52,875
5 34 0 51,734375
5 34 0 52,484375
5 34 0 53,546875
5 34 0 53,171875
5 34 0 52,4375
5 34 0 53,4375
5 34 0 51,5
5 34 0 50,3125
5 34 0 50,1875
5 34 0 49,578125
5 34 0 48,078125
5 34 0 50,03125
5 34 0 49,859375
5 34 0 49,765625
5 34 0 49,703125
5 34 0 48,15625
5 34 0 47,609375
5 34 0 47,28125
5 34 0 46,046875
5 34 0 46,046875
5 34 0 46,8125
5 34 0 47,15625
5 34 0 46,171875
5 34 0 46,421875
5 34 0 46,8125
5 34 0 45,703125
5 34 0 43,96875
5 34 0 45,5625
5 34 0 45,265625
5 34 0 42,46875
5 34 0 38,5625
5 34 0 37,40625
5 34 0 39,09375
5 34 0 38,375
5 35 1 38,46484375
5 35 1 36,76171875
5 35 1 35,04296875
5 35 1 31,52734375
5 35 1 26,68359375
5 35 1 24,10546875
5 35 1 22,16796875
5 35 1 19,83984375
5 35 1 19,48046875
5 35 1 19,38671875
53 4 0 47,88671875
53 4 1 49,54296875
60 37 0 52,81640625
57 48 1 42,1484375
55 54 0 41,6328125
55 54 0 44,4296875
55 54 0 45,6953125
55 54 0 48,8671875
42 52 0 52,6953125
42 52 0 53,7109375
15 22 0 53,8125
15 22 0 53,25
5 18 1 54,57421875
5 18 1 54,26171875
5 18 1 54,41796875
5 33 0 55,55078125
5 34 0 54,8125
5 34 0 55,46875
5 34 0 58,390625
5 34 0 56,796875
5 34 0 55,703125
5 34 0 56,375
5 34 0 57,421875
5 34 0 56,859375
5 34 0 55,140625
5 34 0 56,765625
5 34 0 56,453125
5 34 0 56,40625
5 34 0 56,609375
5 34 0 55,21875
5 34 0 56,0625
5 34 0 58,140625
5 34 0 58,6875
5 34 0 57,890625
5 35 0 59,37109375
5 34 1 58,8125
5 34 0 58,515625
5 34 0 56,3125
5 34 0 54,15625
5 34 0 56,15625
5 34 0 54,6875
5 34 0 54,640625
5 34 0 55,421875
5 34 0 55,484375
5 34 0 56,03125
5 34 0 56,1875
5 34 0 55,8125
5 34 0 55,390625
5 34 0 53,609375
5 34 0 53,515625
5 34 0 53,9375
5 34 0 55,3125
5 34 0 56,78125
5 34 0 56,140625
5 34 0 56,328125
5 34 0 56,25
5 34 0 55,765625
5 34 0 56,046875
5 34 0 52,890625
5 34 0 52,9375
5 34 0 53,046875
5 34 0 53,21875
5 34 0 54,640625
5 34 0 54,34375
53 4 0 49,05859375
53 4 1 47,80859375
50 15 0 53,6953125
41 29 1 47,453125
56 52 1 46,1015625
55 54 0 46,0703125
55 54 0 46,9921875
55 54 0 49,1171875
55 54 0 49,0234375
42 52 0 52,1171875
42 52 0 50,2890625
15 22 0 50,859375
15 22 0 50,078125
15 22 0 49,640625
5 18 1 52,51171875
5 18 0 53,74609375
5 18 0 55,58984375
5 18 0 57,21484375
5 33 0 58,98828125
5 34 0 56,609375
5 34 0 56,328125
5 34 0 57,390625
5 34 0 58,125
5 34 0 57,375
5 34 0 57,796875
5 34 0 57,453125
5 34 0 59,0625
5 34 0 57,546875
5 34 0 57,828125
5 34 0 57,03125
5 34 0 57,65625
5 34 0 58,4375
5 34 0 57,359375
5 34 0 58,25
5 34 0 60,484375
5 35 0 61,38671875
5 36 0 62,66796875
5 34 0 59,046875
5 34 0 58,15625
5 34 0 59,6875
5 34 0 60
5 41 0 62,3515625
5 34 0 60,1875
5 34 0 59,6875
5 34 0 59,640625
5 34 0 59,390625
5 34 0 59,203125
5 34 0 58,515625
5 34 0 57,6875
5 34 0 54,859375
5 34 0 55,671875
5 34 0 56,359375
5 34 0 57,1875
5 34 0 58,578125
5 34 0 58,640625
5 34 0 51,859375
5 34 0 56,625
5 34 0 56,390625
5 34 0 56,359375
5 34 0 55,671875
5 34 0 57,546875
5 34 0 58,296875
5 34 0 60,078125
5 34 0 58,328125
52 2 1 20,828125
52 2 1 20,0625
54 6 0 19,31640625
59 38 1 26,8203125
57 47 1 22,58984375
55 54 0 19,7421875
55 54 0 23,0078125
55 54 0 23,0546875
55 54 0 23,4921875
55 54 0 20,5078125
54 55 0 21,27734375
15 21 1 22,3359375
15 21 1 21,5078125
15 21 1 21,0703125
15 21 1 21,4140625
15 22 0 20,015625
5 18 0 26,10546875
5 18 0 29,26171875
5 18 0 30,21484375
5 18 0 30,30859375
5 18 0 30,49609375
5 33 0 31,53515625
5 34 0 33
5 34 0 32,859375
5 34 0 34,140625
5 34 0 36,28125
5 34 0 36,375
5 34 0 36,765625
5 34 0 35,578125
5 34 0 34,9375
5 34 0 36,328125
5 34 0 36,796875
5 34 0 38,6875
5 34 0 38,40625
5 34 0 40,25
5 34 0 43,046875
5 34 0 42,3125
5 34 0 43,046875
5 34 0 43,296875
5 34 0 44,65625
5 34 0 44,125
5 34 0 45,125
5 34 0 45,484375
5 34 0 46,0625
5 34 0 40,09375
5 34 0 42,140625
5 34 0 44,296875
5 34 0 45,28125
5 34 0 39,21875
5 34 0 42,75
5 34 0 41,65625
5 34 0 46,28125
5 34 0 47,890625
5 34 0 48,921875
5 34 0 49,953125
5 34 0 44,46875
5 34 0 46,265625
5 34 0 46,6875
5 34 0 49,765625
5 34 0 40,78125
5 34 0 32,671875
5 34 0 40,125
5 34 0 24,46875
5 34 0 18,375
51 5 1 -0,45703125
50 5 0 -0,3515625
51 6 0 -0,23828125
36 18 1 -0,671875
36 24 0 0,5234375
56 25 0 0,078125
38 24 0 -0,15625
53 34 1 -0,21875
50 46 0 0,27734375
47 50 1 -0,46875
47 50 1 0,03125
47 50 1 0,453125
47 50 1 0,015625
47 53 0 0,48046875
13 30 0 1,3515625
13 30 0 -1,0390625
14 29 0 1,39453125
31 49 0 -1,921875
14 29 0 1,45703125
31 49 0 -1,75
31 50 0 -1,55078125
14 29 0 0,95703125
14 29 0 -0,65234375
14 28 0 1,75390625
14 28 0 0,92578125
13 30 0 2,1953125
13 30 0 2,2109375
14 29 0 -0,21484375
14 29 0 -0,54296875
25 62 1 -3,8203125
25 62 0 -3,3828125
13 30 0 5,2890625
25 62 0 -2,8515625
26 62 0 -1,79296875
2 6 1 -2,2890625
2 6 1 -1,4609375
2 6 1 -3,8203125
25 62 0 4,3671875
2 7 1 2,91015625
2 7 0 4,19140625
2 6 1 -3,8671875
2 6 1 -7,6640625
2 7 1 5,20703125
2 6 1 -6,8046875
1 6 1 0,76171875
7 35 1 1,9296875
7 35 1 5,0078125
7 35 1 0,2734375
3 19 0 3,4296875
2 7 1 1,09765625
4 18 0 1,01953125
6 36 1 8,41015625
7 43 1 7,55859375
7 56 1 5,31640625
7 22 1 -2,43359375
7 26 1 0,015625
7 38 1 3,03125
0 9 1 1,33203125
7 43 1 4,40234375
7 41 1 0,265625
7 46 1 -0,7734375
10 39 1 -2,41015625
1 40 1 -1,15234375
1 37 1 1,06640625
4 0 1 0,265625
4 1 1 0,9140625
50 16 1 0,07421875
50 16 1 -0,47265625
50 16 1 -0,16015625
5 4 1 0,3046875
37 31 1 -0,2734375
37 37 1 1,28125
36 34 1 0,7421875
29 35 1 -1,59375
29 39 1 -0,37109375
29 35 1 -0,28125
29 40 1 -0,3203125
33 49 1 0,00390625
31 45 1 -0,828125
28 41 1 0,83984375
32 51 1 0,32421875
29 40 1 -0,7265625
36 49 1 -0,52734375
